City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
568,chulym,55.0997,80.9572,37.92,97.0,100.0,5.46,RU,1700262808.0
569,las heras,-46.5419,-68.9359,53.35,34.0,100.0,22.26,AR,1700262638.0
570,sungailiat,-1.85,106.1333,80.51,83.0,93.0,4.79,ID,1700262808.0
571,ocean city,39.2776,-74.5746,61.05,86.0,100.0,3.0,US,1700262800.0
572,vila do maio,15.1333,-23.2167,79.59,75.0,46.0,9.62,CV,1700262809.0
574,butembo,0.15,29.2833,56.53,95.0,97.0,2.48,CD,1700262810.0
575,nahiyat ash shinafiyah,31.5874,44.6602,68.22,49.0,0.0,6.49,IQ,1700262810.0
576,suntar,62.1444,117.6319,8.13,97.0,100.0,3.62,RU,1700262810.0
577,tafresh,34.692,50.013,44.42,71.0,1.0,4.68,IR,1700262811.0
578,lorengau,-2.0226,147.2712,83.12,74.0,19.0,5.84,PG,1700262811.0
579,berdigestyakh,62.0989,126.6992,15.37,98.0,100.0,3.09,RU,1700262811.0
580,kristiansund,63.1115,7.732,36.25,75.0,100.0,4.61,NO,1700262812.0
581,paragominas,-2.9667,-47.4833,84.24,56.0,90.0,4.43,BR,1700262637.0
582,deqen,29.9618,90.7188,27.88,74.0,14.0,5.28,CN,1700262812.0
583,phuthaditjhaba,-28.5242,28.8158,60.82,82.0,80.0,5.57,ZA,1700262813.0
584,buka,40.8108,69.1986,64.13,13.0,100.0,5.06,UZ,1700262813.0
585,kegeyli shahar,42.7767,59.6078,50.09,73.0,91.0,20.02,UZ,1700262813.0
586,chaoyang,41.5703,120.4586,22.66,56.0,0.0,4.32,CN,1700262814.0
587,moranha,27.1833,94.9333,60.98,97.0,100.0,5.23,IN,1700262814.0
588,bamboo flat,11.7,92.7167,77.09,94.0,100.0,1.14,IN,1700262814.0
589,ha'il,27.5219,41.6907,60.82,77.0,0.0,0.0,SA,1700262814.0
590,stony plain,53.5334,-114.0021,54.79,46.0,0.0,8.05,CA,1700262815.0
591,lhokseumawe,5.1801,97.1507,78.69,87.0,97.0,3.62,ID,1700262815.0
